utc_time,perth_time,lot,zone,utilization
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PH4,BEN-PH4-LZ-Green,1.94
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PI1,BEN-PI1-LZ-Yellow,4.19
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PI2,BEN-PI2-LZ-Yellow,5.45
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PI3,BEN-PI3-LZ-Yellow,0.35
2026-07-08T12:55:32Z,2026-07-08 20:55:32,STAFF ONLY - PJ1,BEN-PJ1-LZ-White,1.05
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PJ1,BEN-PJ1-LZ-Yellow,26.09
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PJ2,BEN-PJ2-LZ-Green,1.89
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PL1,BEN-PL1-LZ-Green,13.42
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PL2,BEN-PL2-LZ-Green,6.45
2026-07-08T12:55:32Z,2026-07-08 20:55:32,STAFF ONLY - PL2,BEN-PL2-LZ-White,0
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PM2,BEN-PM2-LZ-Blue,0
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PM3,BEN-PM3-LZ-Green,8.86
2026-07-08T15:27:16Z,2026-07-08 23:27:16,TCP1, ,0
2026-07-08T15:27:16Z,2026-07-08 23:27:16,TCP2, ,0
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PA1,BEN-PA1-LZ-Green,27.41
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PA2,BEN-PA2-LZ-Green,1.83
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PA3,BEN-PA3-LZ-Green,0.62
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PA4,BEN-PA4-LT-0001,0
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PA5,BEN-PA5-LZ-Green,9.38
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PB1,BEN-PB1-LZ-Green,16.33
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PB3,BEN-PB3-LZ-90Minute,29.41
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PC2,BEN-PC2-LZ-Green,0
2026-07-08T15:27:16Z,2026-07-08 23:27:16,PC3,BEN-PC3-LZ-Green,3.39
